beds,baths,sqft,lot_size,year_built,property_type,city,postal_code,lat,lon,sale_date,price
3,2,2552,4049,2017,Detached,Ottawa,K1A,45.406714,-75.685762,2022-04-14,816341
2,3,2126,5316,2003,Detached,Ottawa,K1A,45.413002,-75.688897,2024-07-11,797902
1,2,847,0,1974,Condo,Mississauga,L5B,43.5839,-79.646799,2023-06-01,509637
4,1,2304,4105,1966,Semi-Detached,Mississauga,L5B,43.593134,-79.625332,2025-12-05,655097
2,2,886,0,2011,Condo,Brampton,L6P,43.7343,-79.773655,2022-12-12,769835
3,2,2271,4080,1968,Semi-Detached,Oakville,L6J,43.472215,-79.66888,2025-03-02,1111285
3,3,1411,0,2004,Condo,Hamilton,L8P,43.254442,-79.870543,2025-08-13,567584
3,2,2468,3373,2016,Semi-Detached,Ottawa,K1A,45.411379,-75.713749,2022-11-09,621139
3,3,1095,0,1998,Condo,Hamilton,L8P,43.253104,-79.886131,2022-12-13,409507
2,1,776,0,1988,Condo,London,N6A,43.00339,-81.234034,2025-03-30,271553
1,2,917,0,1992,Condo,Oakville,L6J,43.493234,-79.687108,2024-12-22,805686
1,3,1789,3384,1996,Semi-Detached,Mississauga,L5B,43.583566,-79.651228,2023-11-01,553293
4,2,2521,1379,2014,Detached,Ottawa,K1A,45.418073,-75.700914,2025-05-30,1045694
4,3,2218,2877,2010,Detached,London,N6A,42.997616,-81.238083,2022-06-11,692900
1,1,1524,3080,1997,Semi-Detached,Oakville,L6J,43.479998,-79.683497,2024-10-03,1093560
5,3,2694,2653,2019,Detached,Ottawa,K1A,45.429199,-75.693897,2024-08-01,939910
4,3,2674,2301,1966,Detached,Mississauga,L5B,43.596564,-79.65823,2023-12-08,866574
3,2,1899,3064,2016,Detached,Ottawa,K1A,45.41174,-75.697399,2024-05-03,982266
2,2,1650,2680,1966,Townhouse,Toronto,M5V,43.648774,-79.399102,2022-08-25,713748
3,1,2309,3998,2001,Semi-Detached,Mississauga,L5B,43.590268,-79.651696,2022-03-16,1018176
3,2,1249,0,1976,Condo,Hamilton,L8P,43.271405,-79.881138,2022-12-08,356716
5,2,2852,3806,1966,Semi-Detached,Ottawa,K1A,45.41925,-75.685124,2024-10-16,645973
5,3,2858,3606,2019,Semi-Detached,Burlington,L7R,43.314309,-79.796022,2023-09-15,1466275
2,3,893,0,1981,Condo,Burlington,L7R,43.315012,-79.820194,2024-08-15,580979
3,2,2179,4114,1989,Detached,Ottawa,K1A,45.418422,-75.703789,2024-11-28,582154
4,4,1479,0,2013,Condo,Mississauga,L5B,43.592802,-79.637994,2022-01-12,815913
4,2,1500,0,1989,Condo,London,N6A,42.989196,-81.243223,2023-04-11,384538
2,2,970,0,2012,Condo,Waterloo,N2L,43.475591,-80.521204,2024-04-06,665373
4,2,2218,3900,2009,Detached,Toronto,M5V,43.655582,-79.372658,2025-01-26,1266965
4,2,1171,0,1986,Condo,Toronto,M5V,43.649895,-79.389281,2024-07-09,616292
3,4,2449,4012,2003,Detached,London,N6A,42.979727,-81.231207,2024-03-24,545667
3,2,2160,4662,2003,Semi-Detached,Ottawa,K1A,45.418682,-75.710645,2022-12-06,769331
2,2,989,0,1989,Condo,Ottawa,K1A,45.423842,-75.681695,2023-03-08,318682
2,3,980,0,2001,Condo,Brampton,L6P,43.733576,-79.763892,2024-07-27,564645
4,2,1901,1948,2005,Townhouse,Brampton,L6P,43.736186,-79.757318,2024-01-23,855574
3,2,2750,3875,2013,Semi-Detached,Burlington,L7R,43.330214,-79.804522,2023-02-23,1069767
2,2,1175,0,1973,Condo,Mississauga,L5B,43.585123,-79.641241,2023-08-03,439909
3,2,2316,3358,1979,Detached,Oakville,L6J,43.467169,-79.669754,2022-02-07,859348
1,2,1646,3679,1981,Detached,Toronto,M5V,43.637291,-79.391994,2025-02-11,973483
3,2,2458,3967,1983,Semi-Detached,Mississauga,L5B,43.597205,-79.639027,2022-12-02,679864
3,2,1415,0,1971,Condo,Brampton,L6P,43.729829,-79.760933,2022-05-13,562448
2,3,1144,0,1978,Condo,Burlington,L7R,43.327411,-79.798536,2023-08-12,459471
3,2,1327,0,1999,Condo,Ottawa,K1A,45.423994,-75.681425,2024-10-04,487112
5,2,2871,3649,1993,Semi-Detached,Toronto,M5V,43.644541,-79.376364,2022-10-05,1377400
1,2,1544,4456,1982,Detached,Waterloo,N2L,43.458435,-80.501292,2022-11-02,518006
3,2,1705,1932,1997,Townhouse,Waterloo,N2L,43.475101,-80.53741,2024-05-28,574445
5,2,2139,1508,2019,Townhouse,Burlington,L7R,43.336719,-79.785895,2024-03-07,1123842
2,4,1073,0,1985,Condo,Waterloo,N2L,43.452027,-80.503799,2022-10-30,327857
2,4,2179,3334,1979,Semi-Detached,Brampton,L6P,43.729206,-79.752895,2025-03-31,489564
3,4,2181,3715,2017,Semi-Detached,Hamilton,L8P,43.260299,-79.865025,2023-06-04,852778
3,1,2499,3893,1989,Detached,Toronto,M5V,43.635026,-79.400683,2024-01-04,916339
3,1,2186,2226,1988,Detached,London,N6A,42.982131,-81.245554,2023-08-07,461653
1,2,1246,0,1996,Condo,Toronto,M5V,43.646321,-79.382311,2022-01-11,745394
1,2,1697,3177,2021,Semi-Detached,Oakville,L6J,43.467274,-79.682451,2024-12-05,1176025
1,2,2106,2798,1977,Detached,Toronto,M5V,43.632584,-79.389911,2023-08-12,702344
3,2,2135,3958,2019,Detached,Brampton,L6P,43.740746,-79.761804,2023-03-04,890884
4,3,2370,4216,2011,Semi-Detached,Mississauga,L5B,43.595514,-79.624335,2022-09-08,992553
3,3,2134,3480,2006,Detached,Waterloo,N2L,43.459007,-80.514213,2022-01-14,541176
3,2,2475,2753,1996,Detached,Ottawa,K1A,45.410222,-75.691557,2022-11-08,979479
3,1,1380,0,1995,Condo,Mississauga,L5B,43.602844,-79.636525,2024-08-14,635992
4,2,2142,3178,2005,Townhouse,Oakville,L6J,43.452065,-79.674531,2023-02-24,1027138
3,4,2337,2789,1967,Semi-Detached,Hamilton,L8P,43.250805,-79.864874,2025-06-14,456778
4,2,2831,4520,1978,Semi-Detached,London,N6A,42.98348,-81.254239,2022-11-30,448025
3,2,1233,0,2003,Condo,Hamilton,L8P,43.244503,-79.884047,2025-01-12,496738
4,1,2174,1981,1975,Townhouse,Brampton,L6P,43.732268,-79.77523,2024-10-30,491800
2,3,1366,1828,2007,Townhouse,Burlington,L7R,43.322007,-79.802216,2024-08-29,776615
4,3,2915,4324,2008,Detached,Mississauga,L5B,43.588284,-79.644472,2025-06-28,887852
3,3,2396,3435,1969,Detached,Burlington,L7R,43.328965,-79.78902,2025-03-30,807123
3,2,1670,4386,2006,Semi-Detached,Mississauga,L5B,43.582762,-79.62496,2024-06-10,762931
4,1,2130,2198,1990,Townhouse,Oakville,L6J,43.466924,-79.685689,2023-03-03,1361556
1,3,1557,2442,1983,Townhouse,Brampton,L6P,43.747834,-79.773863,2025-08-03,548206
2,2,1987,3763,2012,Semi-Detached,Mississauga,L5B,43.593535,-79.646542,2024-02-20,1030242
2,2,1744,2238,2005,Townhouse,London,N6A,42.983399,-81.244044,2025-07-26,469103
3,1,1118,0,1971,Condo,Brampton,L6P,43.721586,-79.783934,2022-05-23,422816
2,2,1846,2403,1974,Townhouse,Oakville,L6J,43.464252,-79.712694,2024-08-19,870382
1,2,2208,2388,2001,Detached,Oakville,L6J,43.481343,-79.682061,2024-09-01,1036795
4,3,2113,2112,1989,Townhouse,Oakville,L6J,43.453405,-79.692368,2023-12-16,944342
3,2,2164,3917,1992,Semi-Detached,Mississauga,L5B,43.591542,-79.648894,2022-10-18,751555
3,4,2268,4551,1971,Detached,Hamilton,L8P,43.260835,-79.861611,2025-10-06,646595
2,3,1867,2841,2018,Semi-Detached,Mississauga,L5B,43.578982,-79.643415,2025-11-09,789378
1,2,1781,2165,1990,Townhouse,Hamilton,L8P,43.244886,-79.869335,2023-06-05,476631
3,2,1839,2427,2000,Townhouse,Ottawa,K1A,45.427367,-75.69039,2024-12-19,619694
2,2,1532,1765,2008,Townhouse,Ottawa,K1A,45.422943,-75.707834,2025-06-03,539671
2,2,1011,0,1973,Condo,Oakville,L6J,43.452005,-79.693878,2023-08-13,750429
3,3,2629,3811,2002,Detached,Hamilton,L8P,43.248214,-79.862419,2023-07-08,1000557
3,2,1047,0,1970,Condo,Mississauga,L5B,43.601385,-79.646249,2023-03-01,437364
3,1,1980,4159,1972,Detached,Hamilton,L8P,43.243365,-79.86415,2022-03-08,507784
4,2,2291,2038,2000,Townhouse,Toronto,M5V,43.632693,-79.380806,2023-03-29,890551
3,1,2037,1877,1981,Townhouse,Brampton,L6P,43.717429,-79.76167,2025-11-24,565689
4,2,1493,0,1970,Condo,Brampton,L6P,43.735117,-79.757363,2023-02-10,377367
4,1,1469,0,1997,Condo,Oakville,L6J,43.455594,-79.6871,2022-04-24,755042
4,2,2177,3859,1979,Detached,Oakville,L6J,43.467761,-79.712385,2022-12-08,1088760
3,2,2545,4366,2006,Detached,Mississauga,L5B,43.583776,-79.648441,2022-05-14,855518
5,2,2641,3598,2018,Detached,Brampton,L6P,43.756149,-79.765401,2025-08-05,1388950
4,1,1994,3551,1989,Semi-Detached,London,N6A,42.951016,-81.24638,2025-02-14,387519
4,1,2486,4026,1984,Semi-Detached,Waterloo,N2L,43.452203,-80.514401,2024-09-15,448364
3,2,1767,2596,1966,Townhouse,Toronto,M5V,43.639229,-79.393234,2023-01-17,971729
3,1,2189,3628,1981,Detached,London,N6A,42.994396,-81.260149,2022-04-11,489001
3,2,1976,3320,1971,Semi-Detached,London,N6A,42.992492,-81.251065,2022-06-04,405643
1,2,1231,3063,2003,Detached,Ottawa,K1A,45.421347,-75.691407,2024-06-19,549132
2,2,1243,0,2019,Condo,London,N6A,42.980467,-81.254148,2023-09-21,446984
4,2,2225,2209,2002,Semi-Detached,Brampton,L6P,43.741899,-79.768456,2023-07-08,843821
2,3,2365,5225,1998,Semi-Detached,Brampton,L6P,43.744517,-79.746785,2024-02-15,768474
1,2,1841,2957,1965,Detached,Waterloo,N2L,43.466147,-80.533871,2022-03-28,517705
2,3,1454,1581,2007,Townhouse,Brampton,L6P,43.743357,-79.75521,2023-03-18,558105
2,1,2199,2894,1989,Semi-Detached,Waterloo,N2L,43.461792,-80.507118,2022-11-25,491026
3,2,2361,2985,2004,Semi-Detached,Hamilton,L8P,43.270985,-79.866022,2024-02-09,761013
4,2,1356,0,2004,Condo,Mississauga,L5B,43.578552,-79.663764,2025-11-26,530183
3,2,1223,0,2010,Condo,Toronto,M5V,43.651205,-79.392931,2022-04-23,961630
4,3,2466,3726,1977,Semi-Detached,Ottawa,K1A,45.428849,-75.690571,2024-10-18,608853
2,2,1776,2159,1991,Townhouse,Burlington,L7R,43.328588,-79.781978,2025-12-01,691634
3,2,2363,2091,1993,Semi-Detached,Hamilton,L8P,43.262432,-79.872485,2024-11-19,777889
1,2,1505,3332,2006,Detached,Ottawa,K1A,45.428698,-75.682735,2023-04-18,639031
2,2,1133,0,1986,Condo,Ottawa,K1A,45.407001,-75.708263,2022-08-22,519598
2,2,1477,1162,1984,Townhouse,London,N6A,42.97615,-81.249462,2023-06-20,306573
3,3,1622,2716,2001,Townhouse,Mississauga,L5B,43.586558,-79.642992,2022-12-02,629745
3,2,1213,0,1983,Condo,London,N6A,42.983198,-81.249832,2025-09-04,243996
4,3,2013,2591,2012,Townhouse,Oakville,L6J,43.475325,-79.693526,2024-01-10,953332
4,3,2465,2774,1997,Detached,Toronto,M5V,43.629323,-79.387258,2023-02-05,1437104
3,4,2420,4200,1990,Semi-Detached,Hamilton,L8P,43.256187,-79.865983,2025-11-24,491128
3,2,2078,3843,2015,Detached,Hamilton,L8P,43.251586,-79.865813,2024-01-27,628811
3,2,924,0,1969,Condo,Mississauga,L5B,43.591057,-79.647885,2022-12-22,360094
3,2,1935,2311,2018,Townhouse,London,N6A,42.979166,-81.241765,2023-11-17,632628
1,1,1774,2718,1999,Detached,Waterloo,N2L,43.463635,-80.517947,2025-05-28,619368
3,3,2106,3112,2000,Semi-Detached,Waterloo,N2L,43.472137,-80.509689,2023-08-19,566389
1,2,1604,3781,1988,Detached,Hamilton,L8P,43.254605,-79.87714,2024-08-01,697456
2,3,1777,3953,1988,Detached,Waterloo,N2L,43.467779,-80.528484,2022-11-01,547757
2,2,1936,4006,2019,Semi-Detached,Oakville,L6J,43.464545,-79.686177,2022-10-16,1308603
4,2,1390,0,1965,Condo,London,N6A,42.980416,-81.2252,2024-04-21,258728
3,2,1693,2029,2004,Townhouse,Mississauga,L5B,43.588411,-79.650385,2025-08-10,765428
2,1,2120,4429,1986,Detached,London,N6A,42.97516,-81.240705,2023-01-11,337797
2,3,1837,2151,2013,Townhouse,Hamilton,L8P,43.248731,-79.878715,2023-03-23,638129
4,2,1772,1118,2007,Townhouse,Waterloo,N2L,43.465433,-80.534783,2023-12-10,744649
2,3,1880,2432,2019,Townhouse,Waterloo,N2L,43.472828,-80.515553,2024-06-23,637328
4,2,2330,3232,1972,Semi-Detached,Oakville,L6J,43.461993,-79.678257,2023-09-05,1109166
4,4,1296,0,1965,Condo,Ottawa,K1A,45.425175,-75.703362,2023-07-29,478328
2,4,2077,2882,1967,Semi-Detached,Waterloo,N2L,43.469887,-80.517466,2022-12-19,349195
2,2,1091,0,2002,Condo,Hamilton,L8P,43.263021,-79.882196,2025-12-28,367093
4,3,2332,2200,1992,Detached,Oakville,L6J,43.461847,-79.691807,2025-05-26,965140
2,2,1714,2502,2012,Townhouse,Hamilton,L8P,43.267951,-79.87072,2024-06-14,561387
2,2,1116,0,1966,Condo,Ottawa,K1A,45.426743,-75.702292,2023-04-28,411551
3,2,1343,0,1989,Condo,London,N6A,42.986696,-81.241794,2022-05-23,309830
4,2,1458,0,1982,Condo,Burlington,L7R,43.344499,-79.800326,2025-02-12,693049
3,3,1133,0,1972,Condo,Ottawa,K1A,45.420595,-75.69388,2023-12-03,371212
2,3,2038,3910,2006,Detached,Brampton,L6P,43.722146,-79.75154,2025-07-22,876275
4,2,2055,2735,2004,Townhouse,Hamilton,L8P,43.252668,-79.863101,2023-04-10,566649
2,2,1676,4260,2005,Semi-Detached,Mississauga,L5B,43.601386,-79.642953,2025-02-24,863416
2,2,2170,2952,1985,Semi-Detached,Hamilton,L8P,43.267335,-79.868448,2023-10-23,397917
4,3,2628,4022,2011,Semi-Detached,Ottawa,K1A,45.436241,-75.70072,2025-12-18,923591
3,3,2671,2609,2015,Detached,Toronto,M5V,43.62658,-79.389561,2023-05-20,1619197
3,2,1148,0,1966,Condo,Ottawa,K1A,45.419345,-75.689134,2025-03-31,436525
2,2,1124,0,2021,Condo,Mississauga,L5B,43.611782,-79.656979,2022-04-03,653290
3,2,1723,3738,1997,Semi-Detached,Waterloo,N2L,43.449793,-80.523568,2023-08-25,584781
3,1,1349,0,2013,Condo,Waterloo,N2L,43.474682,-80.519536,2023-07-07,625274
3,1,2191,3590,1975,Semi-Detached,Waterloo,N2L,43.453065,-80.514608,2025-09-18,609053
3,2,2319,2541,1990,Detached,Brampton,L6P,43.738379,-79.758203,2022-04-13,956060
1,3,904,0,1968,Condo,Mississauga,L5B,43.582297,-79.641426,2024-09-16,482208
3,2,2208,4186,2015,Semi-Detached,Ottawa,K1A,45.410848,-75.68911,2023-10-17,1030636
3,2,1286,0,2015,Condo,Oakville,L6J,43.464327,-79.674385,2025-02-15,791999
3,3,2402,3753,2007,Semi-Detached,Toronto,M5V,43.623006,-79.379774,2025-08-27,1401850
4,2,1456,0,1982,Condo,Mississauga,L5B,43.579561,-79.655046,2023-02-24,587417
4,2,1463,0,1992,Condo,Brampton,L6P,43.713307,-79.769332,2025-04-10,654510
3,2,2037,2311,1997,Townhouse,Oakville,L6J,43.457204,-79.689245,2023-11-10,1109887
3,2,1301,0,1999,Condo,Burlington,L7R,43.338763,-79.786779,2025-12-21,593474
3,2,1263,0,1995,Condo,Oakville,L6J,43.471682,-79.705373,2025-11-12,672673
2,1,925,0,2017,Condo,Brampton,L6P,43.742209,-79.767148,2023-06-26,486488
3,4,1456,1655,2011,Townhouse,Burlington,L7R,43.309791,-79.810268,2023-09-30,769904
3,1,2059,2892,1986,Townhouse,Ottawa,K1A,45.416073,-75.705078,2024-03-31,527250
1,2,875,0,2008,Condo,Oakville,L6J,43.469163,-79.684456,2022-10-27,903373
2,3,1546,1639,1986,Townhouse,Ottawa,K1A,45.414561,-75.69265,2024-02-01,504450
4,3,2832,4749,2018,Detached,Burlington,L7R,43.34179,-79.797386,2025-03-09,949943
3,1,2171,2772,2016,Semi-Detached,Hamilton,L8P,43.254864,-79.890345,2024-05-13,744842
3,2,2112,1537,2021,Townhouse,Hamilton,L8P,43.252331,-79.866953,2023-05-14,849467
5,2,3048,4432,1996,Detached,London,N6A,42.983547,-81.235264,2024-04-19,487754
3,2,2641,3306,2007,Semi-Detached,Brampton,L6P,43.717704,-79.768667,2024-06-24,634136
2,4,1203,0,2011,Condo,Ottawa,K1A,45.426631,-75.689949,2025-04-01,722389
4,1,2603,4140,1973,Semi-Detached,Brampton,L6P,43.725308,-79.759269,2025-02-24,806592
3,3,1365,0,1995,Condo,Mississauga,L5B,43.610094,-79.636254,2025-10-13,460518
3,2,1858,2317,1981,Townhouse,Waterloo,N2L,43.448122,-80.515926,2023-01-10,546115
3,2,1159,0,1998,Condo,Oakville,L6J,43.462792,-79.676197,2022-10-22,774290
3,2,2305,4684,1995,Detached,Waterloo,N2L,43.462932,-80.509502,2022-12-03,726660
4,2,1451,0,2014,Condo,Ottawa,K1A,45.410655,-75.707362,2023-02-16,666848
3,1,2295,3841,1976,Detached,Waterloo,N2L,43.465824,-80.528624,2025-08-06,443501
1,2,1084,0,1990,Condo,Waterloo,N2L,43.473316,-80.541134,2025-01-24,390781
5,1,2135,2073,1998,Townhouse,Toronto,M5V,43.623804,-79.398991,2023-03-04,1041214
5,2,1638,0,1989,Condo,Hamilton,L8P,43.251555,-79.877186,2023-09-24,537141
4,1,2368,3184,1968,Semi-Detached,Waterloo,N2L,43.446889,-80.520435,2023-03-07,666529
3,3,2055,2703,1978,Semi-Detached,Burlington,L7R,43.337851,-79.802201,2022-08-15,608129
4,2,1355,0,2020,Condo,Hamilton,L8P,43.240162,-79.862921,2025-01-28,792529
2,2,1826,4400,2008,Detached,Burlington,L7R,43.331884,-79.802286,2024-07-28,785317
3,1,1890,2016,2008,Townhouse,Waterloo,N2L,43.467217,-80.522232,2022-02-22,651751
4,3,2328,4456,1976,Semi-Detached,Waterloo,N2L,43.467974,-80.521491,2025-04-20,504993
4,2,2402,2807,1992,Semi-Detached,Burlington,L7R,43.317869,-79.797642,2023-11-29,900978
3,2,2197,2469,1996,Detached,Oakville,L6J,43.470056,-79.677813,2023-10-27,1183094
5,3,2479,4036,1972,Detached,Waterloo,N2L,43.460342,-80.522196,2024-12-04,640667
2,2,1300,0,1987,Condo,Mississauga,L5B,43.610264,-79.63977,2025-05-26,479809
3,2,1169,0,1990,Condo,Brampton,L6P,43.744316,-79.756823,2025-05-07,416779
3,1,2349,4412,2011,Detached,Brampton,L6P,43.718924,-79.76474,2024-05-12,922612
3,3,1305,0,2005,Condo,Hamilton,L8P,43.276595,-79.887177,2023-11-17,371483
3,2,2286,3347,1986,Semi-Detached,London,N6A,42.962781,-81.229966,2023-03-22,418914
1,1,1186,1893,2007,Townhouse,Burlington,L7R,43.331386,-79.814981,2023-09-12,767741
3,2,1305,0,2019,Condo,London,N6A,42.985091,-81.251715,2024-05-19,528274
3,3,1308,0,2011,Condo,Hamilton,L8P,43.259873,-79.859723,2024-04-12,555323
4,2,2569,4593,1985,Detached,Hamilton,L8P,43.260396,-79.863959,2022-06-19,596441
1,2,1746,3110,1977,Detached,Burlington,L7R,43.309837,-79.812441,2025-04-11,471927
4,3,2179,3580,1978,Detached,Oakville,L6J,43.471565,-79.703496,2024-11-06,1332804
3,2,2107,3021,2009,Semi-Detached,London,N6A,42.985226,-81.243161,2025-11-28,382250
2,4,1962,2267,2015,Detached,Mississauga,L5B,43.580949,-79.634521,2023-10-23,1085373
3,3,2532,3175,2006,Semi-Detached,Toronto,M5V,43.629345,-79.392607,2022-03-25,1259036
4,2,2294,3508,1967,Detached,Ottawa,K1A,45.416714,-75.687623,2025-10-22,783110
3,3,2059,3838,2021,Semi-Detached,Brampton,L6P,43.714834,-79.755498,2023-03-09,869531
1,4,642,0,1971,Condo,Brampton,L6P,43.720012,-79.755737,2025-01-13,356051
3,2,2342,4455,1991,Semi-Detached,Mississauga,L5B,43.575233,-79.648742,2022-07-25,558299
4,2,1946,1584,2019,Townhouse,Burlington,L7R,43.319806,-79.793315,2024-07-26,1112881
1,2,1771,2229,1989,Semi-Detached,London,N6A,42.992031,-81.235699,2024-07-05,421552
2,4,1758,3355,1979,Semi-Detached,Mississauga,L5B,43.591204,-79.646149,2025-01-24,459477
1,1,1736,4013,2017,Detached,Hamilton,L8P,43.260278,-79.854355,2025-09-22,705867
